customer_id,customer_residence_code,gender,age,is_new_customer,seniority_month,customer_type,customer_relation_type,residence_same_as_bank,country_same_as_bank,join_channel,adress_type,activity_index,household_income,segment,use_savings,use_guarantees,use_current_accounts,use_derivada_account,use_payroll_account,use_short_deposits,use_medium_deposits,use_long_deposits,use_e_account,use_loans,use_taxes,use_credit_card,use_pensions,use_direct_debit
107620,1,2,47,0.0,36,1.0,0,2,0,6,1.0,1.0,47164.86,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0
107775,1,2,52,0.0,36,1.0,0,2,0,6,1.0,1.0,68262.93000000001,0,0,0,1,0,0,0,0,1,1,0,0,1,0.0,0
112208,1,0,24,0.0,36,1.0,1,2,2,10,1.0,0.0,47451.24,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
112270,1,0,26,0.0,36,1.0,1,2,0,10,1.0,0.0,19386.48,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
112332,1,0,26,0.0,36,1.0,1,2,0,10,1.0,0.0,102460.88999999998,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
112456,1,0,24,0.0,36,1.0,1,2,2,10,1.0,0.0,119951.52,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
112518,1,2,23,0.0,36,1.0,0,2,0,10,1.0,1.0,68930.85,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
112580,1,0,26,0.0,36,1.0,0,2,0,10,1.0,0.0,71729.79000000001,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
112673,1,2,23,0.0,36,1.0,1,2,0,10,1.0,0.0,76536.95999999999,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
112146,1,0,23,0.0,36,1.0,1,2,0,10,1.0,0.0,233973.63,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
112115,1,0,23,0.0,36,1.0,1,2,0,10,1.0,0.0,219105.33,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
111557,1,2,24,0.0,36,1.0,1,2,0,10,1.0,0.0,60298.56,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
111619,1,0,23,0.0,36,1.0,0,2,0,10,1.0,1.0,-1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
111681,1,0,28,0.0,36,1.0,1,2,2,10,1.0,0.0,41508.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
111743,1,0,23,0.0,36,1.0,1,2,0,10,1.0,0.0,-1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
111805,1,0,24,0.0,36,1.0,1,2,0,10,1.0,0.0,100696.88999999998,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
111867,1,2,26,0.0,36,1.0,0,2,0,10,1.0,1.0,109488.93,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
111929,1,2,23,0.0,36,1.0,0,2,0,10,1.0,1.0,132046.91999999998,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1
111991,1,0,23,0.0,36,1.0,1,2,0,10,1.0,0.0,133945.68,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
111526,1,0,25,0.0,36,1.0,1,2,0,10,1.0,0.0,-1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
112859,1,0,23,0.0,36,1.0,1,2,0,10,1.0,0.0,-1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
113603,1,0,29,0.0,36,1.0,1,2,0,10,1.0,0.0,49263.93000000001,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0
